Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
59.566665480,1,1,1,1,1,1,1,1
60.567705800,1,0,1,1,1,1,1,1
60.768094360,1,0,1,1,1,1,1,0
60.768106080,1,0,1,1,1,1,0,0
60.768117640,1,1,1,1,1,1,0,0
61.769154200,1,0,1,1,1,1,0,0
61.969537800,1,0,1,0,1,1,0,0
61.969546240,1,0,0,0,1,1,0,0
61.969556880,0,0,0,0,1,1,0,0
61.969564680,0,1,0,0,1,1,0,0
62.970600800,0,0,0,0,1,1,0,0
63.170983280,0,0,0,1,1,1,0,0
63.170987520,0,0,0,1,1,1,0,1
63.170991960,0,0,1,1,1,1,0,1
63.170995480,0,0,1,1,1,0,0,1
63.170999200,0,0,1,1,1,0,1,1
63.171002960,1,0,1,1,1,0,1,1
63.171010800,1,1,1,1,1,0,1,1
64.172045880,1,0,1,1,1,0,1,1
64.372455000,1,0,1,1,0,0,1,1
64.372458640,1,1,1,1,0,0,1,1
65.373496160,1,0,1,1,0,0,1,1
65.573887920,1,0,0,1,0,0,1,1
65.573891520,1,0,0,1,0,1,1,1
65.573895040,1,0,0,1,0,1,0,1
65.573904600,0,0,0,1,0,1,0,1
65.573908800,0,0,0,1,1,1,0,1
65.573912440,0,1,0,1,1,1,0,1
66.574948560,0,0,0,1,1,1,0,1
66.775336720,0,0,0,0,1,1,0,1
66.775345400,0,0,1,0,1,1,0,1
66.775352920,0,0,1,0,1,1,1,1
66.775356680,1,0,1,0,1,1,1,1
66.775364480,1,1,1,0,1,1,1,1
67.776399960,1,0,1,0,1,1,1,1
67.976789560,1,0,1,1,1,1,1,1
67.976793720,1,0,1,1,1,1,1,0
67.976813240,1,0,1,1,0,1,1,0
67.976816840,1,1,1,1,0,1,1,0
68.977852720,1,0,1,1,0,1,1,0
69.178235160,1,0,1,0,0,1,1,0
69.178243600,1,0,0,0,0,1,1,0
69.178250760,1,0,0,0,0,1,0,0
69.178254240,0,0,0,0,0,1,0,0
69.178258440,0,0,0,0,1,1,0,0
69.178262080,0,1,0,0,1,1,0,0
70.179294640,0,0,0,0,1,1,0,0
70.379679920,0,0,0,1,1,1,0,0
70.379688480,0,0,1,1,1,1,0,0
70.379695760,0,0,1,1,1,1,1,0
70.379699360,1,0,1,1,1,1,1,0
70.379703560,1,0,1,1,0,1,1,0
70.379707200,1,1,1,1,0,1,1,0
71.380746440,1,0,1,1,0,1,1,0
71.581144600,1,0,1,1,0,1,0,0
71.581152520,1,0,1,1,1,1,0,0
71.581156160,1,1,1,1,1,1,0,0
72.582192880,1,0,1,1,1,1,0,0
72.782576080,1,0,1,0,1,1,0,0
72.782595400,0,0,1,0,1,1,0,0
72.782603240,0,1,1,0,1,1,0,0
73.783636480,0,0,1,0,1,1,0,0
73.984021360,0,0,1,1,1,1,0,0
73.984029960,0,0,0,1,1,1,0,0
73.984037440,0,0,0,1,1,1,1,0
73.984041200,1,0,0,1,1,1,1,0
73.984049040,1,1,0,1,1,1,1,0
74.985085920,1,0,0,1,1,1,1,0
75.185465000,1,0,0,0,1,1,1,0
75.185476960,1,0,0,0,1,0,1,0
75.185480480,1,0,0,0,1,0,0,0
75.185483960,0,0,0,0,1,0,0,0
75.185488040,0,0,0,0,0,0,0,0
78.177239040,0,0,0,0,0,0,0,0
